row,col,.value,header_group_05,header_group_04,header_group_02,header_group_01
39,5,143,SA,Aboriginal and Torres Strait Islander,Females,Unsentenced 
39,6,365,WA,Aboriginal and Torres Strait Islander,Females,Unsentenced 
39,7,23,Tas.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
39,8,86,NT,Aboriginal and Torres Strait Islander,Females,Unsentenced 
39,9,13,ACT,Aboriginal and Torres Strait Islander,Females,Unsentenced 
39,10,1707,Aust.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
40,2,857,NSW,Aboriginal and Torres Strait Islander,Females,Total
40,3,279,Vic.,Aboriginal and Torres Strait Islander,Females,Total
40,4,1055,Qld.,Aboriginal and Torres Strait Islander,Females,Total
40,5,236,SA,Aboriginal and Torres Strait Islander,Females,Total
40,6,794,WA,Aboriginal and Torres Strait Islander,Females,Total
40,7,61,Tas.,Aboriginal and Torres Strait Islander,Females,Total
40,8,130,NT,Aboriginal and Torres Strait Islander,Females,Total
40,9,28,ACT,Aboriginal and Torres Strait Islander,Females,Total
40,10,3432,Aust.,Aboriginal and Torres Strait Islander,Females,Total
42,2,7234,NSW,Aboriginal and Torres Strait Islander,Persons,Sentenced 
42,3,3916,Vic.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
42,4,6720,Qld.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
42,5,1822,SA,Aboriginal and Torres Strait Islander,Persons,Sentenced 
42,6,4667,WA,Aboriginal and Torres Strait Islander,Persons,Sentenced 
42,7,471,Tas.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
42,8,1244,NT,Aboriginal and Torres Strait Islander,Persons,Sentenced 
42,9,211,ACT,Aboriginal and Torres Strait Islander,Persons,Sentenced 
42,10,26281,Aust.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
43,2,5709,NSW,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
43,3,1998,Vic.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
43,4,4103,Qld.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
43,5,1515,SA,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
43,6,3126,WA,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
43,7,329,Tas.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
43,8,1037,NT,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
43,9,211,ACT,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
43,10,18036,Aust.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
44,2,12946,NSW,Aboriginal and Torres Strait Islander,Persons,Total
44,3,5918,Vic.,Aboriginal and Torres Strait Islander,Persons,Total
44,4,10879,Qld.,Aboriginal and Torres Strait Islander,Persons,Total
44,5,3346,SA,Aboriginal and Torres Strait Islander,Persons,Total
44,6,7814,WA,Aboriginal and Torres Strait Islander,Persons,Total
44,7,801,Tas.,Aboriginal and Torres Strait Islander,Persons,Total
44,8,2284,NT,Aboriginal and Torres Strait Islander,Persons,Total
44,9,421,ACT,Aboriginal and Torres Strait Islander,Persons,Total
44,10,44403,Aust.,Aboriginal and Torres Strait Islander,Persons,Total
